"","period","year","month","date","label","account","account_label","account_generic","account_subcategory","account_category","account_statement","value"
"56","2021-08",2021,8,2021-08-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"57","2021-09",2021,9,2021-09-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"58","2021-09",2021,9,2021-09-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"59","2021-10",2021,10,2021-10-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"60","2021-10",2021,10,2021-10-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"61","2021-11",2021,11,2021-11-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"62","2021-11",2021,11,2021-11-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"63","2021-12",2021,12,2021-12-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"64","2021-12",2021,12,2021-12-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"65","2022-01",2022,1,2022-01-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"66","2022-01",2022,1,2022-01-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"67","2022-02",2022,2,2022-02-28,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"68","2022-02",2022,2,2022-02-28,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"69","2022-03",2022,3,2022-03-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"70","2022-03",2022,3,2022-03-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"71","2022-04",2022,4,2022-04-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"72","2022-04",2022,4,2022-04-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"73","2022-05",2022,5,2022-05-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"74","2022-05",2022,5,2022-05-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"75","2022-06",2022,6,2022-06-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"76","2022-06",2022,6,2022-06-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"77","2022-07",2022,7,2022-07-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"78","2022-07",2022,7,2022-07-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"79","2022-08",2022,8,2022-08-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"80","2022-08",2022,8,2022-08-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"81","2022-09",2022,9,2022-09-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"82","2022-09",2022,9,2022-09-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"83","2022-10",2022,10,2022-10-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"84","2022-10",2022,10,2022-10-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"85","2022-11",2022,11,2022-11-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"86","2022-11",2022,11,2022-11-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"87","2022-12",2022,12,2022-12-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"88","2022-12",2022,12,2022-12-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"89","2023-01",2023,1,2023-01-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"90","2023-01",2023,1,2023-01-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"91","2023-02",2023,2,2023-02-28,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"92","2023-02",2023,2,2023-02-28,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"93","2023-03",2023,3,2023-03-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"94","2023-03",2023,3,2023-03-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"95","2023-04",2023,4,2023-04-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"96","2023-04",2023,4,2023-04-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"97","2023-05",2023,5,2023-05-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"98","2023-05",2023,5,2023-05-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"99","2023-06",2023,6,2023-06-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"100","2023-06",2023,6,2023-06-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"101","2023-07",2023,7,2023-07-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"102","2023-07",2023,7,2023-07-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"103","2023-08",2023,8,2023-08-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"104","2023-08",2023,8,2023-08-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"105","2023-09",2023,9,2023-09-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"106","2023-09",2023,9,2023-09-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"107","2023-10",2023,10,2023-10-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"108","2023-10",2023,10,2023-10-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"109","2023-11",2023,11,2023-11-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"110","2023-11",2023,11,2023-11-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"111","2023-12",2023,12,2023-12-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"112","2023-12",2023,12,2023-12-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"113","2024-01",2024,1,2024-01-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"114","2024-01",2024,1,2024-01-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"115","2024-02",2024,2,2024-02-29,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"116","2024-02",2024,2,2024-02-29,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"117","2024-03",2024,3,2024-03-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"118","2024-03",2024,3,2024-03-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"119","2024-04",2024,4,2024-04-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"120","2024-04",2024,4,2024-04-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"121","2024-05",2024,5,2024-05-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"122","2024-05",2024,5,2024-05-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"123","2024-06",2024,6,2024-06-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"124","2024-06",2024,6,2024-06-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"125","2024-07",2024,7,2024-07-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"126","2024-07",2024,7,2024-07-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"127","2024-08",2024,8,2024-08-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"128","2024-08",2024,8,2024-08-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"129","2024-09",2024,9,2024-09-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"130","2024-09",2024,9,2024-09-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"131","2024-10",2024,10,2024-10-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"132","2024-10",2024,10,2024-10-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"133","2024-11",2024,11,2024-11-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"134","2024-11",2024,11,2024-11-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"135","2024-12",2024,12,2024-12-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"136","2024-12",2024,12,2024-12-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"137","2025-01",2025,1,2025-01-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"138","2025-01",2025,1,2025-01-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"139","2025-02",2025,2,2025-02-28,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"140","2025-02",2025,2,2025-02-28,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"141","2025-03",2025,3,2025-03-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"142","2025-03",2025,3,2025-03-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"143","2025-04",2025,4,2025-04-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"144","2025-04",2025,4,2025-04-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"145","2025-05",2025,5,2025-05-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"146","2025-05",2025,5,2025-05-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"147","2025-06",2025,6,2025-06-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"148","2025-06",2025,6,2025-06-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"149","2025-07",2025,7,2025-07-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"150","2025-07",2025,7,2025-07-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"151","2025-08",2025,8,2025-08-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"152","2025-08",2025,8,2025-08-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"153","2025-09",2025,9,2025-09-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"154","2025-09",2025,9,2025-09-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"155","2025-10",2025,10,2025-10-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"156","2025-10",2025,10,2025-10-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"157","2025-11",2025,11,2025-11-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"158","2025-11",2025,11,2025-11-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"159","2025-12",2025,12,2025-12-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"160","2025-12",2025,12,2025-12-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"161","2026-01",2026,1,2026-01-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"162","2026-01",2026,1,2026-01-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"163","2026-02",2026,2,2026-02-28,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"164","2026-02",2026,2,2026-02-28,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"165","2026-03",2026,3,2026-03-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"166","2026-03",2026,3,2026-03-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"167","2026-04",2026,4,2026-04-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"168","2026-04",2026,4,2026-04-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"169","2026-05",2026,5,2026-05-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"170","2026-05",2026,5,2026-05-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"171","2026-06",2026,6,2026-06-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"172","2026-06",2026,6,2026-06-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"173","2026-07",2026,7,2026-07-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"174","2026-07",2026,7,2026-07-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"175","2026-08",2026,8,2026-08-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"176","2026-08",2026,8,2026-08-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"177","2026-09",2026,9,2026-09-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"178","2026-09",2026,9,2026-09-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"179","2026-10",2026,10,2026-10-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"180","2026-10",2026,10,2026-10-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"181","2026-11",2026,11,2026-11-30,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"182","2026-11",2026,11,2026-11-30,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"183","2026-12",2026,12,2026-12-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"184","2026-12",2026,12,2026-12-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"185","2027-01",2027,1,2027-01-31,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"186","2027-01",2027,1,2027-01-31,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
"187","2027-02",2027,2,2027-02-28,"depreciation of maintenance equipment - 1",92010,"maintenance","cost pool","cost pool","internal transfer","management accounting",250
"188","2027-02",2027,2,2027-02-28,"depreciation of maintenance equipment - 1",16310,"accumulated depreciation - maintenance equipment","operating assets","long term assets","assets","balance sheet",-250
